Run Times Sequential,Run Times Parallel,Run Times Automatic Parallel,Speed up from Sequential to Parallel,Speed up from Sequential to Automatic Parallel
1334593800,158821900,127346500,8.40308,10.48
1310129900,128287900,154892800,10.2124,8.4583
1277487800,130948800,127371200,9.75563,10.0296
1233347500,127461800,122720500,9.67621,10.0501
1121315300,125284800,126881200,8.95013,8.83752
1122417600,130859300,135415200,8.57729,8.28871
1124516300,149092500,135555800,7.54241,8.2956
1127982500,138398700,126216800,8.15024,8.93686
1126904400,146937600,126060400,7.66927,8.9394
1124882100,148615800,126243800,7.56906,8.91039
